하카, 69, 169
아아, 61, 185
라마, 68, 183
가하, 81, 196
마다, 40, 177
다아, 59, 168
사나, 53, 199
아카, 59, 196
라자, 42, 178
사라, 51, 155
나타, 42, 187
카마, 89, 180
마아, 51, 163
라라, 75, 181
라바, 56, 196
파카, 45, 182
라타, 51, 162
차카, 46, 143
가하, 99, 165
자다, 53, 189
자파, 76, 152
바자, 82, 183
아차, 52, 157
차카, 54, 169
가사, 60, 156
자마, 85, 186
사나, 51, 164
자사, 45, 168
차차, 45, 154
나사, 51, 193
타다, 77, 168
아아, 64, 173
사마, 45, 185
아아, 50, 150
타하, 86, 192
차파, 85, 198
파자, 53, 171
마하, 73, 164
마사, 45, 193
자마, 84, 145
바카, 80, 173
가자, 46, 192
마라, 60, 196
마아, 93, 198
가자, 92, 161
하자, 58, 155
타아, 93, 190
가차, 70, 177
가가, 81, 170
차사, 45, 160
사다, 79, 187
사타, 99, 182
사차, 60, 183
타하, 92, 187
파자, 47, 184
차아, 91, 168
차가, 58, 187
가카, 79, 161
타다, 84, 179
파아, 55, 155
다사, 63, 197
아아, 59, 165
카자, 86, 179
아사, 80, 165
파파, 82, 194
카카, 99, 172
차타, 58, 159
차다, 92, 164
가다, 88, 163
타자, 91, 180
사사, 47, 174
차파, 97, 174
바파, 82, 175
바라, 58, 192
사바, 58, 193
마다, 83, 197
바마, 66, 148
다자, 67, 167
다타, 44, 150
바타, 81, 190
다파, 48, 183
마가, 86, 165
타라, 71, 190
카자, 83, 189
나마, 92, 169
다가, 93, 198
나타, 90, 184
파마, 78, 193
파하, 56, 144
아자, 82, 192
사마, 80, 157
다타, 84, 180
나하, 71, 149
타바, 72, 143
하자, 71, 173
바나, 51, 191
라카, 59, 149
다자, 98, 160
하파, 55, 188
카바, 81, 149
하다, 89, 178
차바, 86, 188
사가, 75, 149
마하, 70, 154
아자, 80, 156
나파, 81, 168
사마, 40, 173
가사, 45, 187
라자, 69, 175
마다, 92, 192
아라, 57, 197
라아, 62, 159
아카, 69, 151
파라, 79, 152
가바, 55, 193
차마, 49, 146
나나, 62, 195
사다, 72, 148
타타, 55, 199
가나, 50, 181
자마, 40, 160
다라, 59, 164
라파, 84, 142
자다, 81, 176
사라, 46, 192
사나, 49, 155
마아, 54, 173
파나, 96, 199
라타, 83, 195
라타, 69, 151
아자, 43, 190
파하, 48, 197
마가, 75, 150
가자, 94, 147
아하, 72, 173
마카, 50, 144
자다, 64, 194
나사, 91, 146
차바, 47, 171
나파, 97, 164
자아, 43, 169
다카, 48, 147
파아, 85, 191
가카, 66, 142
파카, 58, 141
차카, 88, 142
사자, 60, 145
차타, 40, 160
나자, 44, 197
사다, 51, 193
타아, 68, 158
아나, 45, 166
다카, 52, 182
사파, 66, 146
바아, 69, 143
하타, 91, 177
타마, 71, 196
가차, 90, 153
다라, 91, 141
카사, 87, 196
타마, 51, 168
차카, 45, 153
타마, 41, 182
하가, 93, 160
카마, 54, 190
자마, 85, 172
아카, 79, 143
다아, 60, 142
자파, 68, 145
라파, 65, 176
사하, 68, 184
하카, 43, 169
하아, 82, 184
나타, 53, 167
차라, 60, 184
하카, 40, 161
나나, 76, 182
파라, 61, 194
다바, 52, 143
아가, 85, 196
하마, 87, 157
타다, 69, 164
바다, 85, 192
타아, 65, 155
라하, 73, 187
사타, 74, 142
카바, 75, 168
파차, 55, 150
하아, 73, 176
나차, 50, 142
파라, 57, 152
가차, 97, 162
가나, 63, 168
차카, 95, 145
나바, 46, 148
차가, 78, 177
다파, 83, 158
아나, 74, 151
마카, 93, 158
자카, 84, 176
나하, 98, 150
파차, 69, 170
가가, 85, 182
하나, 62, 152
가자, 52, 183
가바, 80, 177
다파, 92, 182
바라, 73, 159
아사, 53, 195
카바, 44, 166
아파, 78, 187
바라, 76, 167
다바, 86, 190
자라, 46, 151
바다, 77, 152
사가, 57, 154
나차, 63, 140
바가, 58, 157
바카, 93, 141
나자, 88, 191
나자, 98, 174
마차, 77, 161
나나, 86, 166
가사, 51, 154
파하, 64, 151
타아, 82, 177
카라, 64, 140
나바, 65, 189
타가, 58, 189
아사, 60, 192
카마, 96, 188
하나, 49, 198
파사, 77, 188
차타, 74, 148
아차, 66, 187
파하, 43, 169
바차, 99, 173
바하, 73, 183
카아, 45, 144
카카, 91, 198
타카, 58, 195
차카, 93, 156
아차, 53, 166
아가, 67, 156
다나, 96, 166
가다, 88, 143
나나, 56, 146
차나, 59, 141
차사, 73, 161
하나, 44, 177
라차, 92, 161
나가, 43, 155
파자, 69, 165
아사, 97, 144
바나, 71, 161
가사, 50, 142
라마, 59, 186
바바, 63, 163
차사, 70, 160
카라, 43, 163
자파, 80, 150
아아, 65, 158
카파, 43, 153
나사, 71, 194
다사, 66, 151
사가, 95, 142
아마, 91, 152
바아, 46, 143
마하, 40, 150
하타, 52, 159
다하, 58, 184
자사, 67, 168
아하, 59, 160
바파, 73, 142
나바, 97, 147
카라, 62, 160
가파, 55, 182
차다, 64, 157
차마, 46, 184
파가, 81, 170
사자, 96, 160
카카, 64, 176
아하, 61, 178
차카, 66, 192
타다, 70, 165
나라, 94, 192
다마, 55, 157
차다, 62, 142
아라, 43, 179
아사, 66, 168
사자, 76, 177
가마, 73, 181
타타, 53, 195
자카, 54, 176
타바, 67, 195
다하, 73, 171
사카, 79, 172
타아, 45, 187
바가, 69, 142
마자, 42, 181
라파, 92, 170
마타, 88, 176
하나, 77, 144
마자, 87, 141
자파, 91, 191
사카, 55, 185
차마, 72, 167
하마, 51, 165
마나, 79, 198
차라, 90, 157
자마, 56, 193
라가, 68, 169
아하, 92, 163
아아, 94, 194
하카, 71, 150
사카, 59, 151
파사, 97, 180
다마, 49, 159
자마, 96, 150
사라, 66, 163
다타, 49, 168
가차, 49, 187
카카, 77, 146
아아, 65, 151
차카, 57, 187
차자, 42, 180
아하, 42, 183
하파, 76, 197
하나, 85, 175
마아, 79, 188
바타, 59, 184
카라, 85, 183
파아, 71, 157
차다, 62, 197
바바, 96, 160
라사, 85, 190
사아, 41, 191
하하, 46, 150
다파, 78, 156
차자, 92, 167
다타, 66, 144
파자, 86, 188
다자, 86, 185
다사, 59, 180
마다, 93, 154
카사, 72, 199
자라, 40, 172
다사, 67, 149
자사, 93, 175
사아, 86, 176
라바, 62, 171
파나, 88, 181
아차, 75, 171
자나, 71, 159
타바, 41, 179
타마, 93, 167
아사, 64, 144
다카, 60, 160
나아, 78, 185
다마, 92, 150
아다, 86, 190
아파, 64, 175
차가, 70, 194
차카, 74, 169
차파, 95, 183
카하, 70, 162
나파, 59, 168
아카, 52, 171
파하, 59, 142
파파, 84, 169
카타, 54, 148
아라, 63, 181
바자, 64, 155
가하, 88, 197
라타, 91, 171
카라, 77, 180
가마, 43, 142
하차, 67, 170
가차, 67, 172
하파, 48, 156
다라, 51, 152
다카, 44, 194
나다, 89, 170
타카, 69, 177
하아, 71, 141
파마, 58, 184
라하, 63, 174
사라, 83, 181
자나, 97, 156
다나, 79, 182
타차, 42, 143
바바, 90, 170
바카, 89, 161
차나, 89, 189
나라, 84, 154
바파, 45, 188
차타, 97, 180
타마, 53, 197
파나, 96, 193
가차, 79, 195
아파, 42, 143
다바, 91, 141
차마, 68, 151
나파, 76, 180
하가, 91, 140
차다, 51, 169
나자, 62, 168
나차, 81, 155
마타, 44, 196
나바, 99, 151
나차, 64, 166
마파, 60, 178
차나, 91, 140
라차, 98, 170
바사, 82, 177
가타, 62, 191
타다, 44, 143
파아, 55, 173
나라, 45, 171
바나, 43, 178
아파, 85, 175
다바, 78, 176
가하, 48, 172
차바, 90, 167
아바, 93, 178
가하, 91, 178
파바, 98, 189
나마, 89, 173
가나, 67, 194
자가, 47, 176
나카, 57, 173
라타, 73, 163
바자, 96, 196
자타, 88, 187
바하, 70, 147
카바, 96, 195
바마, 72, 182
마타, 52, 169
마자, 77, 183
차아, 62, 186
가다, 65, 184
타마, 47, 173
바마, 79, 158
차자, 64, 178
파타, 73, 149
나자, 82, 156
라마, 44, 176
라파, 53, 163
차나, 96, 144
라나, 86, 195
카나, 55, 158
아하, 78, 161
아파, 84, 152
카하, 58, 175
자사, 82, 144
나마, 95, 197
하타, 60, 163
타파, 97, 181
다다, 74, 172
다카, 81, 192
카마, 53, 157
라하, 99, 156
다타, 53, 193
다타, 77, 147
자가, 43, 187
가마, 54, 152
라라, 48, 171
가차, 57, 175
자가, 93, 184
사하, 68, 151
카파, 73, 199
차나, 80, 164
마카, 84, 179
카아, 48, 159
라하, 94, 189
카카, 88, 148
카타, 42, 170
차차, 81, 193
타하, 61, 173
나마, 55, 158
카카, 99, 162
파파, 87, 149
아카, 91, 154
파차, 98, 144
다차, 65, 166
파아, 91, 153
차차, 43, 180
하나, 41, 142
자하, 74, 190
다라, 96, 141
자타, 94, 166
카파, 45, 177
타차, 71, 185
하나, 56, 195
라파, 66, 186
타하, 64, 167
사파, 54, 161
자마, 42, 155
타다, 85, 190
차라, 83, 143
아나, 62, 141
나바, 51, 149
차자, 97, 178
나다, 62, 156
아차, 45, 163
다카, 92, 163
마나, 73, 193
타카, 52, 146
가파, 54, 192
파파, 81, 186
타아, 65, 161
아파, 91, 182
다차, 82, 193
카가, 71, 164
가바, 72, 160
하타, 62, 186
바바, 87, 161
라차, 72, 176
타라, 88, 173
나가, 57, 150
타바, 80, 153
자사, 83, 173
차자, 58, 166
마카, 80, 163
차타, 97, 195
카바, 45, 192
가파, 87, 190
가바, 86, 157
마자, 54, 170
라사, 53, 151
사라, 81, 174
가아, 77, 164
차파, 82, 165
하라, 86, 169
하아, 84, 173
라타, 93, 141
가파, 64, 146
파라, 81, 180
다하, 43, 148
가타, 77, 147
가가, 62, 170
자자, 58, 157
차파, 49, 168
카아, 99, 183
타다, 80, 192
자바, 97, 192
하타, 74, 176
파자, 40, 162
하다, 40, 159
파나, 58, 165
마카, 93, 167
나마, 80, 180
나라, 79, 165
차하, 52, 152
마다, 90, 198
카가, 70, 158
나나, 41, 174
하차, 72, 175
라타, 60, 197
사바, 71, 174
나타, 64, 179
차바, 93, 168
바가, 65, 151
타라, 83, 178
타차, 63, 148
자하, 83, 158
타파, 52, 175
가나, 63, 144
타마, 84, 182
타나, 97, 184
타파, 41, 182
카카, 56, 170
마나, 56, 186
다차, 78, 142
자차, 68, 161
하마, 74, 147
마차, 50, 198
자카, 99, 176
사타, 65, 179
바바, 57, 166
다나, 69, 146
바파, 66, 161
바자, 63, 199
가파, 68, 144
다아, 93, 190
사마, 59, 191
자바, 74, 193
바하, 60, 140
다하, 58, 165
자나, 73, 152
나마, 78, 185
파다, 75, 146
바자, 84, 193
카마, 63, 198
사카, 73, 164
사나, 80, 193
차자, 81, 179
바바, 50, 172
다다, 49, 175
나바, 70, 194
하라, 95, 156
파타, 95, 182
타가, 86, 160
마카, 64, 151
바바, 46, 178
파타, 53, 167
자가, 51, 160
타마, 82, 174
아타, 75, 183
차자, 40, 183
가파, 43, 173
차차, 96, 193
아가, 77, 149
타사, 58, 145
카자, 58, 150
마나, 63, 190
라차, 93, 185
가아, 83, 177
다라, 94, 191
바마, 66, 179
마자, 95, 175
자다, 52, 172
카사, 65, 187
다가, 40, 159
파가, 95, 158
바아, 56, 195
라나, 40, 157
차차, 60, 141
가타, 68, 185
차차, 61, 148
사자, 66, 149
가하, 75, 140
차자, 55, 182
자차, 43, 159
자하, 61, 164
파가, 85, 185
하사, 43, 151
라마, 70, 176
자카, 87, 197
사마, 72, 157
하마, 93, 151
카사, 87, 178
차나, 75, 169
타아, 66, 145
타라, 46, 195
바타, 60, 180
하자, 96, 194
하파, 62, 186
마나, 54, 146
타파, 86, 160
타사, 53, 159
라아, 70, 188
사파, 47, 173
라아, 67, 166
하차, 75, 194
차다, 46, 181
타카, 42, 167
라사, 69, 198
차자, 96, 178
사마, 70, 185
라다, 65, 157
가라, 58, 151
나가, 93, 164
하마, 85, 148
파자, 86, 179
다차, 46, 148
하카, 49, 170
다다, 40, 197
차바, 94, 164
파바, 60, 156
바가, 80, 175
사타, 86, 175
하다, 96, 179
타차, 99, 192
하마, 60, 184
카바, 66, 171
차차, 85, 147
가차, 43, 145
차자, 93, 163
마자, 66, 140
타사, 56, 178
가아, 49, 191
가자, 84, 183
타다, 88, 177
자바, 91, 167
나자, 64, 192
마바, 91, 153
바하, 77, 182
차아, 59, 164
카자, 72, 142
타다, 94, 168
아다, 80, 178
마카, 96, 143
사바, 46, 175
자가, 59, 173
차라, 92, 162
사라, 60, 175
나가, 93, 191
차카, 69, 161
사파, 79, 193
파타, 80, 186
파타, 42, 188
카다, 56, 154
카차, 98, 170
마바, 95, 144
나가, 74, 170
하바, 59, 192
사다, 79, 155
파바, 65, 172
자바, 71, 149
가차, 62, 197
파아, 97, 149
파라, 58, 198
마나, 54, 182
타나, 48, 178
파카, 60, 187
가나, 47, 191
타하, 88, 172
카카, 43, 141
차타, 59, 140
다파, 73, 172
아바, 68, 182
나하, 58, 180
다하, 91, 180
사카, 59, 177
나자, 42, 195
자파, 83, 189
사파, 58, 151
차타, 75, 161
타차, 80, 143
다가, 65, 196
가마, 85, 145
하하, 82, 179
아차, 84, 174
라라, 42, 150
타카, 69, 181
마아, 47, 153
하타, 87, 141
차하, 74, 149
가카, 87, 158
카파, 66, 161
카바, 53, 172
바아, 50, 180
다파, 78, 175
라자, 86, 172
가다, 94, 175
하파, 93, 197
사파, 66, 190
다차, 89, 182
차파, 48, 186
타다, 77, 197
나나, 92, 144
차마, 98, 151
차하, 72, 152
아가, 54, 163
다라, 87, 144
차아, 99, 165
라하, 69, 152
아파, 75, 191
카아, 63, 191
다마, 83, 161
나라, 55, 166
파마, 83, 187
사카, 58, 163
바라, 98, 198
나나, 65, 149
바마, 94, 154
하라, 74, 169
마타, 50, 152
마사, 79, 170
파가, 92, 171
파바, 76, 167
사가, 73, 155
자파, 65, 173
라카, 40, 198
차가, 78, 151
사다, 85, 143
자차, 43, 168
나차, 89, 191
나타, 66, 186
자마, 54, 146
다하, 71, 198
카가, 73, 160
타차, 69, 169
바자, 92, 193
아가, 76, 157
아차, 99, 141
자사, 96, 165
바자, 90, 163
가아, 97, 196
하가, 67, 195
나자, 67, 156
차자, 87, 176
차파, 63, 168
아타, 78, 159
라카, 81, 176
타가, 41, 162
라타, 52, 145
하다, 79, 189
다타, 47, 199
다카, 78, 199
차자, 46, 150
파가, 71, 170
나아, 83, 193
차바, 77, 194
가라, 46, 146
파라, 56, 180
파파, 52, 167
차아, 70, 176
차타, 55, 195
가차, 71, 198
카라, 72, 199
마바, 79, 155
바마, 73, 196
아타, 75, 154
파카, 99, 189
카차, 89, 142
하바, 49, 189
파파, 42, 145
카가, 88, 168
하하, 76, 142
아차, 90, 185
마가, 61, 172
파아, 47, 173
마자, 75, 198
아마, 93, 188
타카, 42, 150
라사, 77, 193
마카, 40, 180
사사, 43, 146
가다, 85, 193
파하, 65, 160
다마, 86, 153
라사, 55, 168
마마, 74, 199
나마, 61, 180
다라, 89, 160
가자, 96, 165
자하, 93, 195
마타, 72, 170
다나, 54, 173
하나, 79, 156
다나, 46, 185
라자, 47, 174
나아, 97, 193
아하, 42, 190
가파, 57, 172
바파, 58, 184
가가, 41, 198
하가, 42, 155
자바, 68, 184
나차, 46, 184
자파, 89, 151
파다, 60, 174
바가, 96, 196
